

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

067.987  000.106  000.106: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/NERDTree/autoload/nerdtree.vim
068.397  000.235  000.235: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/NERDTree/lib/nerdtree/path.vim
068.508  000.062  000.062: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/NERDTree/lib/nerdtree/menu_controller.vim
068.584  000.038  000.038: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/NERDTree/lib/nerdtree/menu_item.vim
068.673  000.051  000.051: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/NERDTree/lib/nerdtree/key_map.vim
068.816  000.104  000.104: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/NERDTree/lib/nerdtree/bookmark.vim
068.997  000.140  000.140: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/NERDTree/lib/nerdtree/tree_file_node.vim
069.243  000.193  000.193: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/NERDTree/lib/nerdtree/tree_dir_node.vim
069.381  000.099  000.099: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/NERDTree/lib/nerdtree/opener.vim
069.534  000.112  000.112: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/NERDTree/lib/nerdtree/creator.vim
069.601  000.030  000.030: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/NERDTree/lib/nerdtree/flag_set.vim
069.716  000.075  000.075: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/NERDTree/lib/nerdtree/nerdtree.vim
069.894  000.136  000.136: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/NERDTree/lib/nerdtree/ui.vim
069.949  000.019  000.019: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/NERDTree/lib/nerdtree/event.vim
070.016  000.029  000.029: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/NERDTree/lib/nerdtree/notifier.vim
070.261  000.205  000.205: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/NERDTree/autoload/nerdtree/ui_glue.vim
071.571  000.051  000.051: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/NERDTree/nerdtree_plugin/exec_menuitem.vim
071.957  000.362  000.362: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/NERDTree/nerdtree_plugin/fs_menu.vim
072.035  000.030  000.030: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/NERDTree/nerdtree_plugin/vcs.vim
073.235  000.183  000.183: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-devicons/nerdtree_plugin/webdevicons.vim
073.684  005.922  003.662: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/NERDTree/plugin/NERD_tree.vim
074.071  000.093  000.093: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/init.vim
074.401  000.161  000.161: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/parts.vim
074.525  000.023  000.023: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/formatter/short_path.vim
075.420  000.357  000.357: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/util.vim
075.486  001.714  001.080: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/plugin/airline.vim
075.742  000.082  000.082: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/FixCursorHold.nvim/plugin/fix_cursorhold_nvim.vim
075.874  000.037  000.037: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/bufdelete.nvim/plugin/bufdelete.vim
075.990  000.024  000.024: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/SimpylFold/plugin/SimpylFold.vim
076.718  000.642  000.642: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/fzf/plugin/fzf.vim
077.307  000.471  000.471: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/fzf.vim/plugin/fzf.vim
077.460  000.047  000.047: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/TrueZen.nvim/plugin/true-zen-cmds.vim
077.573  000.018  000.018: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/JABS.nvim/plugin/jabs.vim
077.892  000.208  000.208: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/animate.vim/plugin/animate.vim
078.145  000.147  000.147: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/lens.vim/plugin/lens.vim
078.284  000.048  000.048: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/winshift.nvim/plugin/winshift.vim
078.410  000.032  000.032: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/limelight.vim/plugin/limelight.vim
078.727  000.230  000.230: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-hlslens/plugin/hlslens.vim
078.942  000.117  000.117: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/auto-session/plugin/auto-session.vim
079.151  000.023  000.023: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/neoformat/plugin/neoformat.vim
079.522  000.115  000.115: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-visual-multi/autoload/vm/plugs.vim
079.883  000.123  000.123: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-visual-multi/autoload/vm/maps.vim
080.074  000.088  000.088: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-visual-multi/autoload/vm/maps/all.vim
080.619  001.361  001.035: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-visual-multi/plugin/visual-multi.vim
080.847  000.102  000.102: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-easy-align/plugin/easy_align.vim
081.218  000.274  000.274: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/indent-blankline.nvim/plugin/indent_blankline.vim
081.345  000.032  000.032: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/toggleterm.nvim/plugin/toggleterm.vim
082.179  000.747  000.747: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/sniprun/plugin/sniprun.vim
082.295  000.023  000.023: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-code-action-menu/plugin/code_action_menu.vim
082.646  000.264  000.264: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-surround/plugin/surround.vim
082.768  000.032  000.032: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-snippets/plugin/vimsnippets.vim
082.946  000.051  000.051: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/DAPInstall.nvim/plugin/dicmds.vim
083.112  000.034  000.034: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vimtex/plugin/vimtex.vim
083.391  000.113  000.113: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/tabular/plugin/Tabular.vim
083.648  000.112  000.112: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-pandoc/plugin/pandoc.vim
083.825  000.083  000.083: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/csv.vim/plugin/csv.vim
083.987  000.060  000.060: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-lsp-installer/plugin/nvim-lsp-installer.vim
084.101  000.024  000.024: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/orgmode/plugin/orgmode.vim
084.557  000.330  000.330: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-table-mode/plugin/table-mode.vim
084.677  000.033  000.033: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/plenary.nvim/plugin/plenary.vim
084.943  000.161  000.161: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/jupytext.vim/plugin/jupytext.vim
085.081  000.048  000.048: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-be-good/plugin/vim-be-good.vim
085.225  000.051  000.051: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/leetcode.vim/plugin/leetcode.vim
085.557  000.055  000.055: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/train.nvim/autoload/train/builtin.vim
085.592  000.279  000.224: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/train.nvim/plugin/train.vim
086.221  000.509  000.509: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/plugin/nvim-treesitter.vim
086.815  000.112  000.112: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline.vim
087.687  000.030  000.030: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-devicons/autoload/devicons/plugins/startify.vim
087.704  001.387  001.245: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-devicons/plugin/webdevicons.vim
087.852  000.035  000.035: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-web-devicons/plugin/nvim-web-devicons.vim
088.155  000.079  000.079: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-illuminate/plugin/illuminate.vim
088.457  000.179  000.179: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-ts-rainbow/plugin/rainbow.vim
088.629  000.051  000.051: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-peekup/plugin/nvim-peekup.vim
089.074  000.040  000.040: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/neomake/autoload/neomake/setup.vim
089.102  000.386  000.346: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/neomake/plugin/neomake.vim
089.315  000.095  000.095: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-highlightedyank/plugin/highlightedyank.vim
094.466  005.030  005.030: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-lspconfig/plugin/lspconfig.vim
096.513  001.913  001.913: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vimpeccable/plugin/vimp.vim
096.671  000.049  000.049: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/popfix/plugin/popfix.vim
