

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

072.036  000.040  000.040: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/barbar.nvim/autoload/bufferline/highlight.vim
073.145  001.647  001.607: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/barbar.nvim/plugin/bufferline.vim
073.396  000.058  000.058: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/FixCursorHold.nvim/plugin/fix_cursorhold_nvim.vim
073.515  000.033  000.033: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/bufdelete.nvim/plugin/bufdelete.vim
073.626  000.020  000.020: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/SimpylFold/plugin/SimpylFold.vim
074.066  000.346  000.346: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/fzf/plugin/fzf.vim
074.543  000.387  000.387: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/fzf.vim/plugin/fzf.vim
074.666  000.035  000.035: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/TrueZen.nvim/plugin/true-zen-cmds.vim
074.779  000.017  000.017: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/zen-mode.nvim/plugin/zen-mode.vim
074.881  000.014  000.014: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/JABS.nvim/plugin/jabs.vim
075.101  000.116  000.116: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/animate.vim/plugin/animate.vim
075.295  000.110  000.110: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/lens.vim/plugin/lens.vim
075.418  000.036  000.036: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/winshift.nvim/plugin/winshift.vim
075.530  000.027  000.027: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/limelight.vim/plugin/limelight.vim
075.679  000.059  000.059: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-hlslens/plugin/hlslens.vim
075.853  000.089  000.089: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/auto-session/plugin/auto-session.vim
076.117  000.016  000.016: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter-context/plugin/treesitter-context.vim
076.263  000.058  000.058: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/playground/plugin/nvim-treesitter-playground.vim
076.399  000.018  000.018: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/neoformat/plugin/neoformat.vim
076.763  000.104  000.104: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-visual-multi/autoload/vm/plugs.vim
077.104  000.100  000.100: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-visual-multi/autoload/vm/maps.vim
077.309  000.091  000.091: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-visual-multi/autoload/vm/maps/all.vim
077.847  001.335  001.039: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-visual-multi/plugin/visual-multi.vim
078.024  000.083  000.083: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-easy-align/plugin/easy_align.vim
078.272  000.157  000.157: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/indent-blankline.nvim/plugin/indent_blankline.vim
078.392  000.034  000.034: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/toggleterm.nvim/plugin/toggleterm.vim
078.499  000.018  000.018: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/sniprun/plugin/sniprun.vim
078.615  000.018  000.018: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-code-action-menu/plugin/code_action_menu.vim
078.963  000.262  000.262: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-surround/plugin/surround.vim
079.087  000.028  000.028: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-snippets/plugin/vimsnippets.vim
